date,borough,complaints_total,unique_complaints,topk_ABANDONED_VEHICLE_cnt,topk_BLOCKED_DRIVEWAY_cnt,topk_HEAT_HOT_WATER_cnt,topk_ILLEGAL_PARKING_cnt,topk_NOISE___RESIDENTIAL_cnt,topk_NOISE___STREET_SIDEWALK_cnt,topk_OTHER_cnt,topk_STREET_CONDITION_cnt,topk_UNSANITARY_CONDITION_cnt,temp_mean,temp_max,temp_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_mean,wind_gust_mean,cloud_cover_mean,census_income_borough_median,census_population_borough_sum,airbnb_listing_count,airbnb_price_mean,airbnb_price_median,airbnb_rating_mean,airbnb_total_reviews,airbnb_entire_home_pct,airbnb_per_1000_people_borough,day_of_week,is_weekend,month,temp_mean_lag1,temp_mean_ma7,precipitation_sum_lag1,precipitation_sum_ma7,complaints_total_ma7,log_complaints_total,event_day
2024-01-01,BRONX,1362,1362,8,79,320,174,309,42,375,4,51,3.4375,7.7,-0.3,0.0,0.0,0.0,8.320833333333333,14.9,66.95833333333333,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,0,0,1,,,,,,7.217443431696533,1
2024-01-02,BRONX,2052,2052,29,71,565,219,136,12,864,28,128,-0.0291666666666666,5.7,-4.6,0.0,0.0,0.0,9.325,16.870833333333334,0.0,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,1,0,1,3.4375,,0.0,,,7.627057417018934,0
2024-01-03,BRONX,2030,2030,31,58,508,208,151,13,864,29,168,1.5041666666666669,7.7,-2.3,0.0,0.0,0.0,9.275,16.962500000000002,54.833333333333336,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,2,0,1,-0.0291666666666666,1.6375,0.0,0.0,1814.6666666666667,7.616283561580385,0
2024-01-04,BRONX,2107,2107,30,70,580,187,150,30,863,28,169,1.85,6.8,-3.0,0.0,0.0,0.0,14.866666666666667,25.579166666666666,55.25,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,3,0,1,1.5041666666666669,1.690625,0.0,0.0,1887.75,7.653494909661253,0
2024-01-05,BRONX,2204,2204,21,72,710,200,167,15,835,39,145,-1.7833333333333332,3.1,-5.3,0.0,0.0,0.0,11.745833333333332,21.77916666666667,22.58333333333333,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,4,0,1,1.85,0.9958333333333332,0.0,0.0,1951.0,7.698482787880946,0
2024-01-06,BRONX,1720,1720,17,63,660,156,265,13,463,7,76,-0.875,2.8,-5.2,11.8,4.2,5.32,12.995833333333332,22.1125,94.45833333333331,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,5,1,1,-1.7833333333333332,0.6840277777777778,0.0,1.9666666666666668,1912.5,7.450660796211539,0
2024-01-07,BRONX,1427,1427,13,59,482,159,252,13,385,13,51,1.4416666666666669,2.5,-0.5,6.5,5.1,0.98,16.558333333333334,29.433333333333334,86.04166666666667,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,6,1,1,-0.875,0.7922619047619047,11.8,2.6142857142857143,1843.142857142857,7.2640301428995295,0
2024-01-08,BRONX,1992,1992,26,53,528,171,153,16,870,27,148,1.3375,6.3,-3.6,0.0,0.0,0.0,11.633333333333333,21.02083333333333,12.958333333333334,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,0,0,1,1.4416666666666669,0.4922619047619048,6.5,2.6142857142857143,1933.142857142857,7.597396320212795,0
2024-01-09,BRONX,2008,2008,24,58,455,192,133,6,986,25,129,3.9,13.1,-4.6,38.0,38.0,0.0,22.104166666666668,37.50416666666667,95.125,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,1,0,1,1.3375,1.0535714285714286,0.0,8.042857142857143,1926.857142857143,7.605392364814934,0
2024-01-10,BRONX,2342,2342,34,80,431,193,148,7,1230,31,188,8.895833333333334,13.8,5.2,21.700000000000003,21.700000000000003,0.0,26.991666666666664,49.00416666666666,65.54166666666667,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,2,0,1,3.9,2.1095238095238096,38.0,11.142857142857142,1971.4285714285716,7.759187438507795,0
2024-01-11,BRONX,1934,1934,43,65,377,217,138,17,939,13,125,4.420833333333333,8.1,0.1,0.0,0.0,0.0,14.241666666666667,25.691666666666663,28.541666666666668,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,3,0,1,8.895833333333334,2.4767857142857146,21.700000000000003,11.142857142857142,1946.7142857142856,7.567862605463882,0
2024-01-12,BRONX,1784,1784,24,65,308,174,171,45,846,24,127,4.154166666666667,8.1,-2.0,4.0,4.0,0.0,12.9375,23.21666666666667,68.375,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,4,0,1,4.420833333333333,3.325,0.0,11.714285714285714,1886.7142857142856,7.487173694213739,0
2024-01-13,BRONX,1443,1443,17,62,337,178,227,18,538,8,58,8.854166666666666,14.6,1.1,19.7,19.7,0.0,27.4875,49.24166666666667,55.25,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,5,1,1,4.154166666666667,4.714880952380952,4.0,12.842857142857143,1847.142857142857,7.275172319452771,0
2024-01-14,BRONX,1648,1648,12,62,579,218,249,17,456,3,52,-0.0625,6.3,-4.4,0.5,0.1,0.28,22.54583333333333,40.7625,23.0,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,6,1,1,8.854166666666666,4.5,19.7,11.985714285714286,1878.7142857142856,7.407924322559599,0
2024-01-15,BRONX,2295,2295,14,96,1019,176,182,12,679,9,108,-3.4166666666666665,-0.8,-5.8,1.1,0.0,0.77,8.8375,17.3,74.83333333333333,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,0,0,1,-0.0625,3.820833333333333,0.5,12.142857142857142,1922.0,7.738923757439457,1
